0 ,0 ,"0,00%"
4 ,8 ,"60,00%"
4 ,6 ,"20,00%"
2 ,3 ,"5,00%"
2 ,2 ,"0,00%"
16,20,"65,00%"
2 ,2 ,"0,00%"
1 ,1 ,"0,00%"
0 ,0 ,"0,00%"
18,24,"70,00%"
2 ,2 ,"0,00%"
0 ,0 ,"0,00%"
8 ,10,"50,00%"
8 ,10,"50,00%"
2 ,2 ,"0,00%"
12,16,"60,00%"
2 ,2 ,"0,00%"
2 ,2 ,"0,00%"
8 ,12,"60,00%"
2 ,2 ,"0,00%"
12,18,"65,00%"
2 ,4 ,"40,00%"
2 ,2 ,"0,00%"
2 ,2 ,"0,00%"
8 ,12,"40,00%"
8 ,12,"60,00%"
2 ,2 ,"0,00%"
4 ,6 ,"40,00%"
2 ,2 ,"0,00%"
1 ,3 ,"50,00%"
0 ,0 ,"0,00%"
4 ,6 ,"50,00%"
2 ,2 ,"0,00%"
6 ,12,"50,00%"
8 ,10,"60,00%"
2 ,2 ,"0,00%"
24,36,"50,00%"
2 ,2 ,"0,00%"
2 ,2 ,"0,00%"
6 ,8 ,"30,00%"
2 ,2 ,"0,00%"
6 ,8 ,"30,00%"
2 ,2 ,"0,00%"
6 ,8 ,"50,00%"
4 ,6 ,"50,00%"
2 ,2 ,"0,00%"
